Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1986,441.02,18.45,19.28,5980.00,681.00,0.00,0.66,-,24734,2807
1986,226.66,8.54,7.97,1600.00,321.00,0.00,0.10,-,23833,3330
1986,1115.90,25.29,19.78,2680.00,805.00,0.00,0.00,-,21200,14533
1986,146.46,5.29,3.27,598.00,265.00,0.00,0.38,-,20044,11494
1986,139.62,7.72,5.47,1770.00,541.00,0.02,0.02,88500,72677,15024
1986,812.03,72.62,48.24,6160.00,834.00,0.00,8.30,-,21927,3548
1986,175.30,17.20,13.79,1690.00,397.00,0.34,1.28,4971,1680,728
1986,309.86,23.56,24.52,2950.00,2020.00,0.00,0.16,-,28706,1758
1986,1506.00,103.40,83.02,11900.00,1190.00,16.60,26.40,717,56000,28100
1986,1538.81,108.36,124.39,14300.00,4100.00,12.60,27.60,1135,25292,24900
1986,1584.29,96.82,101.88,12800.00,3440.00,0.41,7.36,31220,64000,22430
1985,622.80,35.51,47.30,9110.00,3985.00,1.59,7.15,6650,35715,14197
1985,820.69,64.14,38.82,4580.00,1230.00,2.85,5.01,1607,33900,15500
1985,221.73,14.26,18.24,1910.00,1420.00,0.37,1.74,5162,18016,1195
1985,247.28,13.36,15.56,3640.00,1740.00,0.36,1.21,10111,49693,717
1985,633.18,31.14,35.40,6340.00,3910.00,0.06,0.29,105667,24500,1280
1985,417.08,23.87,29.80,1080.00,289.00,3.40,4.80,446,-,-
1985,1980.65,117.03,145.74,13100.00,6520.00,5.41,52.40,23276,13000,10100
1985,2090.62,-,-,-,-,-,-,1387,-,-
1985,597.46,25.39,29.04,3640.00,451.00,0.00,0.40,-,16534,3200
1985,149.68,7.49,8.63,1300.00,376.00,0.00,0.11,-,6779,3310
1985,441.02,18.42,19.48,5980.00,-,0.00,0.25,-,24734,12800
1985,226.66,8.57,9.60,1600.00,328.00,0.00,0.01,-,23833,1530
1985,1115.90,26.67,25.02,2680.00,1140.00,0.00,0.00,-,21200,8192
